DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,AW1,REM
06-05T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0135,1","+0117,1","99999,9",,SYN042AAXX  05091 02602 45/// /0000 10135 20117;
06-05T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0182,1","+0077,1","99999,9",,SYN042AAXX  05121 02602 45/// /0000 10182 20077;
06-05T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0172,1","+0098,1","99999,9",,SYN042AAXX  05151 02602 45/// /0000 10172 20098;
06-05T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0142,1","+0100,1","99999,9",,SYN042AAXX  05181 02602 45/// /0000 10142 20100;
06-05T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0087,1","+0081,1","99999,9",,SYN042AAXX  05211 02602 45/// /0000 10087 20081;
06-06T03:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0105,1","+0083,1","99999,9",,SYN042AAXX  06031 02602 45/// /0000 10105 20083;
06-06T06:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0119,1","+0097,1","99999,9",,SYN042AAXX  06061 02602 45/// /0000 10119 20097;
06-06T09:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0139,1","+0098,1","99999,9",,SYN042AAXX  06091 02602 45/// /0000 10139 20098;
06-06T12:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0151,1","+0107,1","99999,9",,SYN042AAXX  06121 02602 45/// /0000 10151 20107;
06-06T15:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0172,1","+0125,1","99999,9",,SYN042AAXX  06151 02602 45/// /0000 10172 20125;
06-06T18:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0150,1","+0129,1","99999,9",,SYN042AAXX  06181 02602 45/// /0000 10150 20129;
06-06T21:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0140,1","+0133,1","99999,9",,SYN042AAXX  06211 02602 45/// /0000 10140 20133;
06-07T00:00:00,4,56.4,12.95,140.0,"HALLANDSASEN, SW",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","999999,9,N,1","+0136,1","+0127,1","99999,9",,SYN042AAXX  07001 02602 45/// /0000 10136 20127;
