DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,MA1,REM,EQD
01-04T17:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"360,1,N,0040,1","99999,9,9,N","999999,9,N,1","+0011,1","+9999,9","99999,9","99999,9,09676,1",SYN054AAXX  04171 89266 46/// /3604 10011 39676 4//// 5////;,
01-04T18:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","+0004,1","+9999,9","99999,9",,SYN048AAXX  0418/ 89266 46/// ///// 10004 4//// 5////;,
01-04T19:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"360,1,N,0040,1","99999,9,9,N","999999,9,N,1","+0003,1","+9999,9","99999,9","99999,9,09681,1",SYN054AAXX  04191 89266 46/// /3604 10003 39681 4//// 5////;,
01-04T20:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"010,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0003,1","+9999,9","99999,9","99999,9,09684,1",SYN054AAXX  04201 89266 46/// /0104 11003 39684 4//// 5////;,
01-04T22:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"360,1,N,0040,1","99999,9,9,N","999999,9,N,1","-0008,1","+9999,9","99999,9","99999,9,09686,1",SYN054AAXX  04221 89266 46/// /3604 11008 39686 4//// 5////;,
01-04T23:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"010,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0014,1","+9999,9","99999,9","99999,9,09686,1",SYN054AAXX  04231 89266 46/// /0103 11014 39686 4//// 5////;,
01-05T00:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"010,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0016,1","+9999,9","99999,9","99999,9,09687,1",SYN054AAXX  05001 89266 46/// /0103 11016 39687 4//// 5////;,
01-05T01:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"010,1,N,0030,1","99999,9,9,N","999999,9,N,1","-0021,1","+9999,9","99999,9","99999,9,09687,1",SYN054AAXX  05011 89266 46/// /0103 11021 39687 4//// 5////;,
01-05T03:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"030,1,N,0020,1","99999,9,9,N","999999,9,N,1","-0025,1","+9999,9","99999,9","99999,9,09687,1",SYN054AAXX  05031 89266 46/// /0302 11025 39687 4//// 5////;,
01-05T04:00:00,4,-72.2,-60.1666666,115.0,"UNIVERSITY WI ID 8902 BUTLER ISLAND, AY",FM-12,99999,V020,"999,9,9,9999,9","99999,9,9,N","999999,9,N,1","-0025,1","+9999,9","99999,9","99999,9,09685,1",SYN054AAXX  05041 89266 46/// /04// 11025 39685 4//// 5////;,
